"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2010-2011","201171","Carl Landry","1610612740","New Orleans Hornets","In The Paint (Non-RA)",46,25,54.35,40.0,38.99
"2010-2011","201171","Carl Landry","1610612740","New Orleans Hornets","Mid-Range",91,33,36.26,42.45,40.03
"2010-2011","201171","Carl Landry","1610612740","New Orleans Hornets","Restricted Area",65,49,75.38,61.26,61.99
"2010-2011","201189","Aaron Gray","1610612740","New Orleans Hornets","In The Paint (Non-RA)",23,8,34.78,40.0,38.99
"2010-2011","201189","Aaron Gray","1610612740","New Orleans Hornets","Mid-Range",5,2,40.0,42.45,40.03
"2010-2011","201189","Aaron Gray","1610612740","New Orleans Hornets","Restricted Area",71,46,64.79,61.26,61.99
"2010-2011","201573","Jerryd Bayless","1610612740","New Orleans Hornets","Above the Break 3",11,3,27.27,35.95,34.93
"2010-2011","201573","Jerryd Bayless","1610612740","New Orleans Hornets","In The Paint (Non-RA)",8,1,12.5,40.0,38.99
"2010-2011","201573","Jerryd Bayless","1610612740","New Orleans Hornets","Left Corner 3",3,0,0.0,34.85,39.16
"2010-2011","201573","Jerryd Bayless","1610612740","New Orleans Hornets","Mid-Range",13,6,46.15,42.45,40.03
"2010-2011","201573","Jerryd Bayless","1610612740","New Orleans Hornets","Restricted Area",14,7,50.0,61.26,61.99
"2010-2011","201607","Patrick Ewing","1610612740","New Orleans Hornets","Above the Break 3",2,0,0.0,35.95,34.93
"2010-2011","201607","Patrick Ewing","1610612740","New Orleans Hornets","In The Paint (Non-RA)",1,0,0.0,40.0,38.99
"2010-2011","201607","Patrick Ewing","1610612740","New Orleans Hornets","Mid-Range",2,0,0.0,42.45,40.03
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Above the Break 3",75,28,37.33,35.95,34.93
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Backcourt",1,0,0.0,15.38,2.99
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","In The Paint (Non-RA)",38,10,26.32,40.0,38.99
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Left Corner 3",9,3,33.33,34.85,39.16
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Mid-Range",104,41,39.42,42.45,40.03
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Restricted Area",99,51,51.52,61.26,61.99
"2010-2011","201977","Marcus Thornton","1610612740","New Orleans Hornets","Right Corner 3",8,4,50.0,38.83,39.72
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","Above the Break 3",12,4,33.33,35.95,34.93
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","In The Paint (Non-RA)",30,12,40.0,40.0,38.99
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","Left Corner 3",20,6,30.0,34.85,39.16
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","Mid-Range",46,15,32.61,42.45,40.03
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","Restricted Area",54,28,51.85,61.26,61.99
"2010-2011","202347","Quincy Pondexter","1610612740","New Orleans Hornets","Right Corner 3",18,8,44.44,38.83,39.72
"2010-2011","2431","David Andersen","1610612740","New Orleans Hornets","Above the Break 3",13,5,38.46,35.95,34.93
"2010-2011","2431","David Andersen","1610612740","New Orleans Hornets","In The Paint (Non-RA)",8,4,50.0,40.0,38.99
"2010-2011","2431","David Andersen","1610612740","New Orleans Hornets","Mid-Range",44,20,45.45,42.45,40.03
"2010-2011","2431","David Andersen","1610612740","New Orleans Hornets","Restricted Area",9,4,44.44,61.26,61.99
"2010-2011","2561","David West","1610612740","New Orleans Hornets","Above the Break 3",7,2,28.57,35.95,34.93
"2010-2011","2561","David West","1610612740","New Orleans Hornets","Backcourt",1,0,0.0,15.38,2.99
"2010-2011","2561","David West","1610612740","New Orleans Hornets","In The Paint (Non-RA)",290,132,45.52,40.0,38.99
"2010-2011","2561","David West","1610612740","New Orleans Hornets","Left Corner 3",1,0,0.0,34.85,39.16
"2010-2011","2561","David West","1610612740","New Orleans Hornets","Mid-Range",470,223,47.45,42.45,40.03
"2010-2011","2561","David West","1610612740","New Orleans Hornets","Restricted Area",271,171,63.1,61.26,61.99
"2010-2011","2562","Sasha Pavlovic","1610612740","New Orleans Hornets","Above the Break 3",2,0,0.0,35.95,34.93
"2010-2011","2562","Sasha Pavlovic","1610612740","New Orleans Hornets","In The Paint (Non-RA)",1,0,0.0,40.0,38.99
"2010-2011","2562","Sasha Pavlovic","1610612740","New Orleans Hornets","Left Corner 3",1,0,0.0,34.85,39.16
"2010-2011","2562","Sasha Pavlovic","1610612740","New Orleans Hornets","Mid-Range",5,2,40.0,42.45,40.03
"2010-2011","2562","Sasha Pavlovic","1610612740","New Orleans Hornets","Right Corner 3",2,0,0.0,38.83,39.72
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Above the Break 3",88,31,35.23,35.95,34.93
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Backcourt",2,0,0.0,15.38,2.99
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","In The Paint (Non-RA)",103,44,42.72,40.0,38.99
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Left Corner 3",37,12,32.43,34.85,39.16
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Mid-Range",260,112,43.08,42.45,40.03
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Restricted Area",91,60,65.93,61.26,61.99
"2010-2011","2584","Willie Green","1610612740","New Orleans Hornets","Right Corner 3",28,11,39.29,38.83,39.72
"2010-2011","2731","Emeka Okafor","1610612740","New Orleans Hornets","Above the Break 3",1,0,0.0,35.95,34.93
"2010-2011","2731","Emeka Okafor","1610612740","New Orleans Hornets","In The Paint (Non-RA)",144,50,34.72,40.0,38.99
"2010-2011","2731","Emeka Okafor","1610612740","New Orleans Hornets","Mid-Range",29,11,37.93,42.45,40.03
