"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2016-2017","2734","Devin Harris","1610612742","Dallas Mavericks","In The Paint (Non-RA)","23","7","30.43","44.93","41.76"
"2016-2017","2734","Devin Harris","1610612742","Dallas Mavericks","Left Corner 3","15","6","40.00","37.60","38.63"
"2016-2017","2734","Devin Harris","1610612742","Dallas Mavericks","Mid-Range","36","15","41.67","40.15","40.25"
"2016-2017","2734","Devin Harris","1610612742","Dallas Mavericks","Restricted Area","105","56","53.33","61.83","61.10"
"2016-2017","2734","Devin Harris","1610612742","Dallas Mavericks","Right Corner 3","24","8","33.33","36.64","38.82"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Above the Break 3","138","45","32.61","36.95","35.15"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","In The Paint (Non-RA)","72","21","29.17","44.79","41.76"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Left Corner 3","22","5","22.73","35.32","38.63"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Mid-Range","89","27","30.34","38.44","40.25"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Restricted Area","212","104","49.06","60.65","61.10"
"2016-2017","1626144","Emmanuel Mudiay","1610612743","Denver Nuggets","Right Corner 3","17","6","35.29","41.54","38.82"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","Above the Break 3","16","4","25.00","36.95","35.15"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","In The Paint (Non-RA)","1","0","0.00","44.79","41.76"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","Left Corner 3","8","3","37.50","35.32","38.63"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","Mid-Range","10","3","30.00","38.44","40.25"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","Restricted Area","34","21","61.76","60.65","61.10"
"2016-2017","1627736","Malik Beasley","1610612743","Denver Nuggets","Right Corner 3","4","2","50.00","41.54","38.82"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Above the Break 3","258","84","32.56","36.95","35.15"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Backcourt","8","0","0.00","0.00","2.00"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","In The Paint (Non-RA)","83","29","34.94","44.79","41.76"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Left Corner 3","42","13","30.95","35.32","38.63"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Mid-Range","124","47","37.90","38.44","40.25"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Restricted Area","179","104","58.10","60.65","61.10"
"2016-2017","1627750","Jamal Murray","1610612743","Denver Nuggets","Right Corner 3","34","18","52.94","41.54","38.82"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","Above the Break 3","83","31","37.35","36.95","35.15"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","In The Paint (Non-RA)","18","5","27.78","44.79","41.76"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","Left Corner 3","15","7","46.67","35.32","38.63"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","Mid-Range","11","1","9.09","38.44","40.25"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","Restricted Area","82","49","59.76","60.65","61.10"
"2016-2017","1627823","Juancho Hernangomez","1610612743","Denver Nuggets","Right Corner 3","15","8","53.33","41.54","38.82"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Above the Break 3","244","87","35.66","36.95","35.15"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","In The Paint (Non-RA)","167","76","45.51","44.79","41.76"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Left Corner 3","29","6","20.69","35.32","38.63"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Mid-Range","162","63","38.89","38.44","40.25"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Restricted Area","284","184","64.79","60.65","61.10"
"2016-2017","201163","Wilson Chandler","1610612743","Denver Nuggets","Right Corner 3","52","17","32.69","41.54","38.82"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","Above the Break 3","263","100","38.02","36.95","35.15"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","In The Paint (Non-RA)","43","18","41.86","44.79","41.76"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","Left Corner 3","38","17","44.74","35.32","38.63"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","Mid-Range","208","79","37.98","38.44","40.25"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","Restricted Area","175","112","64.00","60.65","61.10"
"2016-2017","201568","Danilo Gallinari","1610612743","Denver Nuggets","Right Corner 3","23","9","39.13","41.54","38.82"
"2016-2017","201579","Roy Hibbert","1610612743","Denver Nuggets","Mid-Range","1","1","100.00","38.44","40.25"
"2016-2017","201579","Roy Hibbert","1610612743","Denver Nuggets","Restricted Area","2","1","50.00","60.65","61.10"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","Above the Break 3","89","40","44.94","36.95","35.15"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","In The Paint (Non-RA)","10","3","30.00","44.79","41.76"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","Left Corner 3","13","5","38.46","35.32","38.63"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","Mid-Range","55","21","38.18","38.44","40.25"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","Restricted Area","33","18","54.55","60.65","61.10"
"2016-2017","201589","Darrell Arthur","1610612743","Denver Nuggets","Right Corner 3","15","8","53.33","41.54","38.82"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","Above the Break 3","1","0","0.00","36.95","35.15"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","In The Paint (Non-RA)","2","0","0.00","44.79","41.76"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","Left Corner 3","1","0","0.00","35.32","38.63"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","Mid-Range","2","0","0.00","38.44","40.25"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","Restricted Area","7","3","42.86","60.65","61.10"
"2016-2017","202087","Alonzo Gee","1610612743","Denver Nuggets","Right Corner 3","1","0","0.00","41.54","38.82"
"2016-2017","202702","Kenneth Faried","1610612743","Denver Nuggets","Above the Break 3","4","0","0.00","36.95","35.15"
"2016-2017","202702","Kenneth Faried","1610612743","Denver Nuggets","Backcourt","2","0","0.00","0.00","2.00"
"2016-2017","202702","Kenneth Faried","1610612743","Denver Nuggets","In The Paint (Non-RA)","76","33","43.42","44.79","41.76"
"2016-2017","202702","Kenneth Faried","1610612743","Denver Nuggets","Mid-Range","30","7","23.33","38.44","40.25"
"2016-2017","202702","Kenneth Faried","1610612743","Denver Nuggets","Restricted Area","304","188","61.84","60.65","61.10"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Above the Break 3","200","78","39.00","36.95","35.15"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","In The Paint (Non-RA)","106","44","41.51","44.79","41.76"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Left Corner 3","27","5","18.52","35.32","38.63"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Mid-Range","93","35","37.63","38.44","40.25"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Restricted Area","232","129","55.60","60.65","61.10"
"2016-2017","203115","Will Barton","1610612743","Denver Nuggets","Right Corner 3","7","4","57.14","41.54","38.82"
"2016-2017","2034","Mike Miller","1610612743","Denver Nuggets","Above the Break 3","19","8","42.11","36.95","35.15"
"2016-2017","2034","Mike Miller","1610612743","Denver Nuggets","In The Paint (Non-RA)","2","1","50.00","44.79","41.76"
"2016-2017","2034","Mike Miller","1610612743","Denver Nuggets","Left Corner 3","1","0","0.00","35.32","38.63"
"2016-2017","2034","Mike Miller","1610612743","Denver Nuggets","Mid-Range","1","0","0.00","38.44","40.25"
"2016-2017","203486","Mason Plumlee","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","203486","Mason Plumlee","1610612743","Denver Nuggets","In The Paint (Non-RA)","38","14","36.84","44.79","41.76"
"2016-2017","203486","Mason Plumlee","1610612743","Denver Nuggets","Mid-Range","14","3","21.43","38.44","40.25"
"2016-2017","203486","Mason Plumlee","1610612743","Denver Nuggets","Restricted Area","128","82","64.06","60.65","61.10"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Above the Break 3","189","73","38.62","36.95","35.15"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Backcourt","3","0","0.00","0.00","2.00"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","In The Paint (Non-RA)","51","19","37.25","44.79","41.76"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Left Corner 3","46","27","58.70","35.32","38.63"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Mid-Range","66","25","37.88","38.44","40.25"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Restricted Area","265","169","63.77","60.65","61.10"
"2016-2017","203914","Gary Harris","1610612743","Denver Nuggets","Right Corner 3","16","7","43.75","41.54","38.82"
"2016-2017","203948","Johnny O'Bryant III","1610612743","Denver Nuggets","Above the Break 3","3","2","66.67","36.95","35.15"
"2016-2017","203948","Johnny O'Bryant III","1610612743","Denver Nuggets","In The Paint (Non-RA)","3","1","33.33","44.79","41.76"
"2016-2017","203948","Johnny O'Bryant III","1610612743","Denver Nuggets","Mid-Range","3","0","0.00","38.44","40.25"
"2016-2017","203948","Johnny O'Bryant III","1610612743","Denver Nuggets","Restricted Area","6","4","66.67","60.65","61.10"
"2016-2017","203950","Jarnell Stokes","1610612743","Denver Nuggets","Restricted Area","1","1","100.00","60.65","61.10"
"2016-2017","203994","Jusuf Nurkic","1610612743","Denver Nuggets","In The Paint (Non-RA)","58","24","41.38","44.79","41.76"
"2016-2017","203994","Jusuf Nurkic","1610612743","Denver Nuggets","Mid-Range","25","6","24.00","38.44","40.25"
"2016-2017","203994","Jusuf Nurkic","1610612743","Denver Nuggets","Restricted Area","215","121","56.28","60.65","61.10"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Above the Break 3","128","44","34.38","36.95","35.15"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","In The Paint (Non-RA)","197","128","64.97","44.79","41.76"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Left Corner 3","5","1","20.00","35.32","38.63"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Mid-Range","162","84","51.85","38.44","40.25"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Restricted Area","356","237","66.57","60.65","61.10"
"2016-2017","203999","Nikola Jokic","1610612743","Denver Nuggets","Right Corner 3","5","0","0.00","41.54","38.82"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Above the Break 3","243","98","40.33","36.95","35.15"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","In The Paint (Non-RA)","42","18","42.86","44.79","41.76"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Left Corner 3","22","6","27.27","35.32","38.63"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Mid-Range","151","62","41.06","38.44","40.25"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Restricted Area","138","82","59.42","60.65","61.10"
"2016-2017","2749","Jameer Nelson","1610612743","Denver Nuggets","Right Corner 3","6","2","33.33","41.54","38.82"
"2016-2017","1626172","Kevon Looney","1610612744","Golden State Warriors","Above the Break 3","9","2","22.22","38.07","35.15"
"2016-2017","1626172","Kevon Looney","1610612744","Golden State Warriors","In The Paint (Non-RA)","11","3","27.27","43.74","41.76"
"2016-2017","1626172","Kevon Looney","1610612744","Golden State Warriors","Mid-Range","9","0","0.00","44.21","40.25"
"2016-2017","1626172","Kevon Looney","1610612744","Golden State Warriors","Restricted Area","78","51","65.38","66.97","61.10"
"2016-2017","1627362","Briante Weber","1610612744","Golden State Warriors","Above the Break 3","3","0","0.00","38.07","35.15"
"2016-2017","1627362","Briante Weber","1610612744","Golden State Warriors","In The Paint (Non-RA)","3","0","0.00","43.74","41.76"
"2016-2017","1627362","Briante Weber","1610612744","Golden State Warriors","Mid-Range","4","2","50.00","44.21","40.25"
"2016-2017","1627362","Briante Weber","1610612744","Golden State Warriors","Restricted Area","4","3","75.00","66.97","61.10"
"2016-2017","1627745","Damian Jones","1610612744","Golden State Warriors","Mid-Range","7","1","14.29","44.21","40.25"
"2016-2017","1627745","Damian Jones","1610612744","Golden State Warriors","Restricted Area","9","7","77.78","66.97","61.10"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","Above the Break 3","78","25","32.05","38.07","35.15"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","In The Paint (Non-RA)","21","9","42.86","43.74","41.76"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","Left Corner 3","24","7","29.17","43.02","38.63"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","Mid-Range","25","6","24.00","44.21","40.25"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","Restricted Area","76","50","65.79","66.97","61.10"
"2016-2017","1627775","Patrick McCaw","1610612744","Golden State Warriors","Right Corner 3","21","9","42.86","39.45","38.82"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Above the Break 3","270","100","37.04","38.07","35.15"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Backcourt","2","0","0.00","3.23","2.00"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","In The Paint (Non-RA)","165","85","51.52","43.74","41.76"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Left Corner 3","15","9","60.00","43.02","38.63"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Mid-Range","260","123","47.31","44.21","40.25"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Restricted Area","289","226","78.20","66.97","61.10"
"2016-2017","201142","Kevin Durant","1610612744","Golden State Warriors","Right Corner 3","25","8","32.00","39.45","38.82"
"2016-2017","201580","JaVale McGee","1610612744","Golden State Warriors","Above the Break 3","2","0","0.00","38.07","35.15"
"2016-2017","201580","JaVale McGee","1610612744","Golden State Warriors","Backcourt","1","0","0.00","3.23","2.00"
"2016-2017","201580","JaVale McGee","1610612744","Golden State Warriors","In The Paint (Non-RA)","46","16","34.78","43.74","41.76"
"2016-2017","201580","JaVale McGee","1610612744","Golden State Warriors","Mid-Range","8","3","37.50","44.21","40.25"
"2016-2017","201580","JaVale McGee","1610612744","Golden State Warriors","Restricted Area","262","189","72.14","66.97","61.10"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Above the Break 3","657","271","41.25","38.07","35.15"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Backcourt","18","1","5.56","3.23","2.00"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","In The Paint (Non-RA)","92","37","40.22","43.74","41.76"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Left Corner 3","67","29","43.28","43.02","38.63"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Mid-Range","221","100","45.25","44.21","40.25"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Restricted Area","341","214","62.76","66.97","61.10"
"2016-2017","201939","Stephen Curry","1610612744","Golden State Warriors","Right Corner 3","46","22","47.83","39.45","38.82"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","Above the Break 3","467","190","40.69","38.07","35.15"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","In The Paint (Non-RA)","123","56","45.53","43.74","41.76"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","Left Corner 3","68","33","48.53","43.02","38.63"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","Mid-Range","373","167","44.77","44.21","40.25"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","Restricted Area","233","153","65.67","66.97","61.10"
"2016-2017","202691","Klay Thompson","1610612744","Golden State Warriors","Right Corner 3","112","45","40.18","39.45","38.82"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Above the Break 3","243","74","30.45","38.07","35.15"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Backcourt","1","0","0.00","3.23","2.00"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","In The Paint (Non-RA)","71","16","22.54","43.74","41.76"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Left Corner 3","8","3","37.50","43.02","38.63"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Mid-Range","34","7","20.59","44.21","40.25"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Restricted Area","282","168","59.57","66.97","61.10"
"2016-2017","203110","Draymond Green","1610612744","Golden State Warriors","Right Corner 3","11","4","36.36","39.45","38.82"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Above the Break 3","112","45","40.18","38.07","35.15"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Backcourt","3","0","0.00","3.23","2.00"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","In The Paint (Non-RA)","71","33","46.48","43.74","41.76"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Left Corner 3","24","8","33.33","43.02","38.63"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Mid-Range","88","43","48.86","44.21","40.25"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Restricted Area","111","74","66.67","66.97","61.10"
"2016-2017","203546","Ian Clark","1610612744","Golden State Warriors","Right Corner 3","24","8","33.33","39.45","38.82"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","Above the Break 3","6","1","16.67","38.07","35.15"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","In The Paint (Non-RA)","12","3","25.00","43.74","41.76"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","Left Corner 3","1","0","0.00","43.02","38.63"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","Mid-Range","21","7","33.33","44.21","40.25"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","Restricted Area","76","50","65.79","66.97","61.10"
"2016-2017","203949","James Michael McAdoo","1610612744","Golden State Warriors","Right Corner 3","1","1","100.00","39.45","38.82"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","Above the Break 3","32","9","28.13","38.07","35.15"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","In The Paint (Non-RA)","4","1","25.00","43.74","41.76"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","Left Corner 3","13","7","53.85","43.02","38.63"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","Mid-Range","9","4","44.44","44.21","40.25"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","Restricted Area","25","15","60.00","66.97","61.10"
"2016-2017","2440","Matt Barnes","1610612744","Golden State Warriors","Right Corner 3","7","2","28.57","39.45","38.82"
"2016-2017","2561","David West","1610612744","Golden State Warriors","Above the Break 3","5","2","40.00","38.07","35.15"
"2016-2017","2561","David West","1610612744","Golden State Warriors","Backcourt","1","0","0.00","3.23","2.00"
"2016-2017","2561","David West","1610612744","Golden State Warriors","In The Paint (Non-RA)","46","23","50.00","43.74","41.76"
"2016-2017","2561","David West","1610612744","Golden State Warriors","Left Corner 3","2","1","50.00","43.02","38.63"
"2016-2017","2561","David West","1610612744","Golden State Warriors","Mid-Range","115","56","48.70","44.21","40.25"
"2016-2017","2561","David West","1610612744","Golden State Warriors","Restricted Area","83","53","63.86","66.97","61.10"
"2016-2017","2585","Zaza Pachulia","1610612744","Golden State Warriors","Above the Break 3","1","0","0.00","38.07","35.15"
"2016-2017","2585","Zaza Pachulia","1610612744","Golden State Warriors","Backcourt","1","0","0.00","3.23","2.00"
"2016-2017","2585","Zaza Pachulia","1610612744","Golden State Warriors","In The Paint (Non-RA)","34","14","41.18","43.74","41.76"
"2016-2017","2585","Zaza Pachulia","1610612744","Golden State Warriors","Mid-Range","49","18","36.73","44.21","40.25"
"2016-2017","2585","Zaza Pachulia","1610612744","Golden State Warriors","Restricted Area","222","132","59.46","66.97","61.10"
"2016-2017","2733","Shaun Livingston","1610612744","Golden State Warriors","Above the Break 3","1","1","100.00","38.07","35.15"
"2016-2017","2733","Shaun Livingston","1610612744","Golden State Warriors","Backcourt","2","0","0.00","3.23","2.00"
"2016-2017","2733","Shaun Livingston","1610612744","Golden State Warriors","In The Paint (Non-RA)","87","49","56.32","43.74","41.76"
"2016-2017","2733","Shaun Livingston","1610612744","Golden State Warriors","Mid-Range","155","68","43.87","44.21","40.25"
"2016-2017","2733","Shaun Livingston","1610612744","Golden State Warriors","Restricted Area","71","55","77.46","66.97","61.10"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Above the Break 3","97","35","36.08","38.07","35.15"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Backcourt","2","0","0.00","3.23","2.00"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","In The Paint (Non-RA)","17","6","35.29","43.74","41.76"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Left Corner 3","36","14","38.89","43.02","38.63"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Mid-Range","63","32","50.79","44.21","40.25"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Restricted Area","158","117","74.05","66.97","61.10"
"2016-2017","2738","Andre Iguodala","1610612744","Golden State Warriors","Right Corner 3","42","15","35.71","39.45","38.82"
"2016-2017","2760","Anderson Varejao","1610612744","Golden State Warriors","In The Paint (Non-RA)","4","2","50.00","43.74","41.76"
"2016-2017","2760","Anderson Varejao","1610612744","Golden State Warriors","Mid-Range","2","1","50.00","44.21","40.25"
"2016-2017","2760","Anderson Varejao","1610612744","Golden State Warriors","Restricted Area","8","2","25.00","66.97","61.10"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Above the Break 3","92","26","28.26","35.13","35.15"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Backcourt","1","0","0.00","0.00","2.00"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","In The Paint (Non-RA)","28","12","42.86","37.33","41.76"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Left Corner 3","23","10","43.48","37.62","38.63"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Mid-Range","38","13","34.21","36.10","40.25"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Restricted Area","69","36","52.17","64.61","61.10"
"2016-2017","101150","Lou Williams","1610612745","Houston Rockets","Right Corner 3","13","5","38.46","39.52","38.82"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","Above the Break 3","2","0","0.00","35.13","35.15"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","In The Paint (Non-RA)","48","22","45.83","37.33","41.76"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","Left Corner 3","3","1","33.33","37.62","38.63"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","Mid-Range","32","11","34.38","36.10","40.25"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","Restricted Area","258","191","74.03","64.61","61.10"
"2016-2017","1626149","Montrezl Harrell","1610612745","Houston Rockets","Right Corner 3","1","0","0.00","39.52","38.82"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Above the Break 3","115","33","28.70","35.13","35.15"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Backcourt","3","0","0.00","0.00","2.00"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","In The Paint (Non-RA)","31","10","32.26","37.33","41.76"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Left Corner 3","43","14","32.56","37.62","38.63"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Mid-Range","14","7","50.00","36.10","40.25"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Restricted Area","197","126","63.96","64.61","61.10"
"2016-2017","1626155","Sam Dekker","1610612745","Houston Rockets","Right Corner 3","26","13","50.00","39.52","38.82"
"2016-2017","1627778","Chinanu Onuaku","1610612745","Houston Rockets","In The Paint (Non-RA)","1","0","0.00","37.33","41.76"
"2016-2017","1627778","Chinanu Onuaku","1610612745","Houston Rockets","Restricted Area","6","5","83.33","64.61","61.10"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","Above the Break 3","16","6","37.50","35.13","35.15"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","In The Paint (Non-RA)","2","1","50.00","37.33","41.76"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","Left Corner 3","1","1","100.00","37.62","38.63"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","Mid-Range","4","1","25.00","36.10","40.25"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","Restricted Area","17","12","70.59","64.61","61.10"
"2016-2017","1627786","Troy Williams","1610612745","Houston Rockets","Right Corner 3","4","1","25.00","39.52","38.82"
"2016-2017","1627787","Kyle Wiltjer","1610612745","Houston Rockets","Above the Break 3","13","4","30.77","35.13","35.15"
"2016-2017","1627787","Kyle Wiltjer","1610612745","Houston Rockets","Mid-Range","1","0","0.00","36.10","40.25"
"2016-2017","1627819","Isaiah Taylor","1610612745","Houston Rockets","Above the Break 3","1","0","0.00","35.13","35.15"
"2016-2017","1627819","Isaiah Taylor","1610612745","Houston Rockets","In The Paint (Non-RA)","1","0","0.00","37.33","41.76"
"2016-2017","1627819","Isaiah Taylor","1610612745","Houston Rockets","Mid-Range","1","1","100.00","36.10","40.25"
"2016-2017","1627819","Isaiah Taylor","1610612745","Houston Rockets","Restricted Area","3","0","0.00","64.61","61.10"
"2016-2017","1627819","Isaiah Taylor","1610612745","Houston Rockets","Right Corner 3","1","0","0.00","39.52","38.82"
"2016-2017","201147","Corey Brewer","1610612745","Houston Rockets","Above the Break 3","30","6","20.00","35.13","35.15"
"2016-2017","201147","Corey Brewer","1610612745","Houston Rockets","Backcourt","3","0","0.00","0.00","2.00"
"2016-2017","201147","Corey Brewer","1610612745","Houston Rockets","In The Paint (Non-RA)","26","8","30.77","37.33","41.76"
"2016-2017","201147","Corey Brewer","1610612745","Houston Rockets","Left Corner 3","33","8","24.24","37.62","38.63"
"2016-2017","201147","Corey Brewer","1610612745","Houston Rockets","Mid-Range","9","4","44.44","36.10","40.25"
